"sent_id","par_id","source","book_id","par_pos","sent_pos"
33747,10795,"Обнародован новый рейтинг самых надёжных банков планеты",1138,1,1
33748,10795,"Российских финансово-кредитных организаций в почётном списке нет.",1138,1,2
33749,10796,"Американский деловой журнал Global Finance представил ежегодный, уже 19-й по счёту, рейтинг 50 самых надёжных банков мира.",1138,2,1
33750,10796,"При его составлении главным образом учитываются долгосрочные кредитные рейтинги, а также рейтинги общих активов от агентств Moody's, Standard & Poor's и Fitch.",1138,2,2
33751,10796,"Как отмечет «Коммерсантъ», каких бы то ни было существенных изменений в почётном перечне по сравнению с прошлым годом не произошло: 45 из 50 банков остались в списке.",1138,2,3
33752,10796,"К тому же первая десятка рейтинга практически не претерпела изменений.",1138,2,4
33753,10796,"В перечне всё также лидирует немецкий KfW, за ним идут французский Caisse des Depots et Consignations (CDC) и голландский Bank Nederlandse Gemeenten.",1138,2,5
33754,10796,"А вот расположившиеся в 2009 году на 4-й и 5-й позициях немецкий Landwirtschaftliche Rentenbank и швейцарский Zuercher Kantonalbank на этот раз поменялись номерами.",1138,2,6
33755,10797,"В целом же в представленном рейтинге преобладают немецкие, французские и канадские банки (по шесть).",1138,3,1
33756,10797,"Нидерландских кредитных организаций три, но все они в первой десятке.",1138,3,2
33757,10797,"Американских банков четыре, но самый надежный из них — BNY Mellon — только на 30-м месте.",1138,3,3
33758,10797,"Британских банков три, но все они также далеки от первых мест: HSBC (19-я строчка), Barclays (34-я строчка) и Nationwide Building Society (46-я строчка).",1138,3,4
33759,10797,"Авторы рейтинга также составили перечень надёжных банков по регионам.",1138,3,5
33760,10797,"Так, для Центральной и Восточной Европы таких организаций пять: это чешские Ceska Sporitelna и Komercni Banka, словенский Nova Ljubljanska Banka, польский Bank Polska Kasa Opieki и словацкий Ceskoslovenska Obchodni Banka (CSOB).",1138,3,6
33761,10797,"Российские банки не попали даже в региональный рейтинг.",1138,3,7
33762,10798,"О том, почему наши банки не считаются надёжными, читайте в статье Частного корреспондента «Человек и банк — кто сильнее?»",1138,4,1
