"sent_pos","source"
0,"Москва может стать девятым федеральным «суперокругом» с особым статусом Статус расширенной столицы будет похож на тот, что имеет Вашингтон, а глава «суперрегиона» может стать третьим лицом государства."
1,"Эксперты продолжают обсуждать перспективы расширения Москвы, о котором призвал подумать Дмитрий Медведев."
2,"Специалисты полагают, что на землях новой и старой Москвы будет сформирован девятый по счёту федеральный округ — столичный."
3,"При этом для присоединённых территорий планируется принять специальный закон, а руководитель «суперрегиона» может стать третьим лицом государства."
4,"Тем не менее каких-либо более конкретных идей и решений пока не озвучено."
5,"«Новые территории войдут в состав столичного федерального округа."
6,"Другое дело, что границы самой новой Москвы пока точно не определены», — цитируют «Известия» депутата Мосгордумы Михаила Москвина-Тарханова."
7,"По его мнению, в столичный округ должно было бы войти и всё Подмосковье, а во главе округа — стоять коллегия, куда бы входили представители федеральной власти, области и столицы."
8,"По мнению же политтехнолога Алексея Рощина, решение о создании округа сомнительное: «Москва и так воспринимается большей частью населения как отдельное государство»."
9,"Он провёл параллель с американским федеральным округом Колумбия, в который входит столица США Вашингтон, отметив, что там несколько иная форма управления — нет выборов мэра, всё находится под прямой федеральной юрисдикцией."
10,"Рощин полагает, что одна из целей создания столичного округа — «полностью лишить самоуправления подмосковные муниципалитеты»."
11,"«Это будет суперрегион, где сосредоточено огромное количество ресурсов."
12,"Полпред в этом округе фактически станет третьим лицом государства, что ограничит власть мэра», — пояснил Марат Гельман."
13,"Между тем москвичи встревожены планами предстоящего расширения столицы за счёт территории Московской области."
14,"Такие настроения выявил по итогом опросов аналитический «Левада-центр»."
15,"Новость о том, что территория Москвы станет в 2,4 раза больше, поделила москвичей на два лагеря."
16,"Положительно восприняли её 41,2% опрошенных, отрицательно — 40,4%."
17,"Тех, кто воспринимает расширение «целиком положительно», 12%, тогда как «резко отрицательно» отнеслись к идее 16,8%."
18,"Ещё 18,4% пока не знают, как воспринимать проект."
