"doc_id","trained_score"
"10",96.88
"100",100.0
"1000",83.33
"1001",92.86
"1002",85.71
"1003",91.78
"1004",87.5
"1005",94.44
"1006",81.25
"1007",75.0
"1008",92.86
"1009",66.67
"101",84.48
"1010",69.23
"1011",88.89
"1012",81.82
"1014",97.96
"1015",100.0
"1016",100.0
"1017",90.38
"1018",89.36
"1019",80.0
"102",83.33
"1020",92.31
"1021",88.89
"1022",81.25
"1023",91.18
"1025",75.44
"1026",87.5
"1027",66.67
"1028",75.0
"1029",91.67
"103",95.92
"1030",70.59
"1031",92.86
"1032",100.0
"1033",98.25
"1034",85.71
"1035",57.14
"1036",94.74
"1037",100.0
"1038",87.5
"1039",98.36
"104",100.0
"1040",60.0
"1041",91.67
"1042",86.21
"1043",83.33
"1044",76.47
"1045",83.33
"1046",100.0
"1047",100.0
"1048",100.0
"1049",77.78
"105",92.31
"1050",100.0
"1051",85.71
"1052",85.71
"1053",87.5
"1054",95.83
"1055",66.67
"1056",71.43
"1057",100.0
"1058",62.5
"1059",75.0
"1060",100.0
"1061",100.0
"1062",71.43
"1063",93.33
"1064",91.67
"1065",80.0
"1066",77.78
"1067",100.0
"1068",85.0
"1069",92.16
"107",85.71
"1070",96.3
"1071",95.71
"1072",94.12
"1073",94.12
"1074",45.45
"1075",100.0
"1076",65.79
"1077",92.31
"1078",80.0
"1079",84.62
"108",100.0
"1080",98.32
"1081",100.0
"1082",75.0
"1083",100.0
"1084",87.5
"1085",100.0
"1086",100.0
"1087",92.31
"1088",65.52
"1089",83.33
"109",100.0
"1090",85.71
"1091",55.56
"1092",83.33
"1093",57.14
"1094",58.33
"1095",88.89
"1096",73.33
"1097",100.0
"1098",50.0
"1099",100.0
"11",70.79
"110",88.89
"1100",100.0
"1101",97.06
"1102",88.89
"1103",94.44
"1104",100.0
"1105",80.0
"1106",100.0
"1107",100.0
"1108",72.73
"1109",100.0
"111",100.0
"1110",90.91
"1111",85.71
"1112",100.0
"1113",91.67
"1114",66.67
"1115",100.0
"1116",100.0
"1117",91.84
"1118",94.12
"1119",100.0
"112",83.67
"1126",94.74
"1127",69.23
"1128",80.0
"1129",76.92
"113",99.16
"1130",71.43
"1131",91.67
"1132",91.67
"1133",100.0
"1134",91.67
"1135",90.0
"1136",92.31
"1137",40.0
"1138",93.33
"1139",91.67
"114",75.0
"1141",85.71
"1142",76.92
"1143",68.75
"1144",80.0
"1145",62.5
"1146",90.0
"1147",57.14
"1148",84.62
"1149",60.0
"115",100.0
"1150",91.67
"1151",86.67
"1152",77.78
"1153",75.0
"1154",83.33
"1155",87.5
"1156",100.0
"1157",100.0
"1158",100.0
"1159",100.0
"116",93.75
"1160",85.11
"1162",87.5
"1163",75.0
"1164",91.67
"1165",88.89
"1166",90.91
"1167",83.33
