"baseline_score","doc_id"
96.88,"10"
100.0,"100"
83.33,"1000"
92.86,"1001"
85.71,"1002"
91.89,"1003"
87.5,"1004"
84.21,"1005"
81.25,"1006"
75.0,"1007"
92.86,"1008"
66.67,"1009"
84.48,"101"
69.23,"1010"
88.89,"1011"
66.67,"1012"
97.96,"1014"
100.0,"1015"
100.0,"1016"
90.38,"1017"
87.76,"1018"
80.0,"1019"
83.33,"102"
92.31,"1020"
88.89,"1021"
81.25,"1022"
85.71,"1023"
75.0,"1025"
87.5,"1026"
66.67,"1027"
75.0,"1028"
91.67,"1029"
95.92,"103"
70.59,"1030"
92.86,"1031"
100.0,"1032"
98.25,"1033"
85.71,"1034"
57.14,"1035"
92.31,"1036"
100.0,"1037"
87.5,"1038"
98.36,"1039"
100.0,"104"
60.0,"1040"
91.67,"1041"
86.21,"1042"
83.33,"1043"
93.33,"1044"
83.33,"1045"
100.0,"1046"
100.0,"1047"
100.0,"1048"
77.78,"1049"
92.31,"105"
100.0,"1050"
85.71,"1051"
85.71,"1052"
87.5,"1053"
95.83,"1054"
66.67,"1055"
62.5,"1056"
100.0,"1057"
62.5,"1058"
75.0,"1059"
100.0,"1060"
100.0,"1061"
66.67,"1062"
93.33,"1063"
91.67,"1064"
80.0,"1065"
65.0,"1066"
100.0,"1067"
85.0,"1068"
92.16,"1069"
85.71,"107"
96.3,"1070"
95.71,"1071"
94.12,"1072"
94.12,"1073"
45.45,"1074"
100.0,"1075"
65.79,"1076"
92.31,"1077"
90.91,"1078"
77.78,"1079"
100.0,"108"
98.32,"1080"
94.44,"1081"
75.0,"1082"
100.0,"1083"
87.5,"1084"
100.0,"1085"
100.0,"1086"
92.31,"1087"
65.52,"1088"
83.33,"1089"
100.0,"109"
85.71,"1090"
55.56,"1091"
83.33,"1092"
57.14,"1093"
58.33,"1094"
88.89,"1095"
73.33,"1096"
100.0,"1097"
50.0,"1098"
75.0,"1099"
70.79,"11"
88.89,"110"
100.0,"1100"
97.06,"1101"
88.89,"1102"
94.44,"1103"
100.0,"1104"
80.0,"1105"
100.0,"1106"
100.0,"1107"
72.73,"1108"
100.0,"1109"
100.0,"111"
90.91,"1110"
85.71,"1111"
100.0,"1112"
91.67,"1113"
66.67,"1114"
100.0,"1115"
90.0,"1116"
91.84,"1117"
94.12,"1118"
100.0,"1119"
83.67,"112"
94.74,"1126"
69.23,"1127"
80.0,"1128"
76.92,"1129"
99.16,"113"
71.43,"1130"
91.67,"1131"
62.5,"1132"
100.0,"1133"
91.67,"1134"
90.0,"1135"
92.31,"1136"
40.0,"1137"
93.33,"1138"
91.67,"1139"
40.0,"114"
85.71,"1141"
76.92,"1142"
68.75,"1143"
80.0,"1144"
62.5,"1145"
90.0,"1146"
57.14,"1147"
84.62,"1148"
60.0,"1149"
100.0,"115"
91.67,"1150"
86.67,"1151"
40.0,"1152"
75.0,"1153"
83.33,"1154"
87.5,"1155"
100.0,"1156"
100.0,"1157"
100.0,"1158"
100.0,"1159"
93.75,"116"
85.11,"1160"
87.5,"1162"
75.0,"1163"
81.82,"1164"
88.89,"1165"
90.91,"1166"
83.33,"1167"
80.0,"1168"
86.67,"1169"
100.0,"117"
90.91,"1170"
87.5,"1171"
93.75,"1172"
90.0,"1173"
100.0,"1174"
84.62,"1175"
87.5,"1176"
72.73,"1177"
100.0,"118"
83.33,"1180"
84.21,"1181"
90.91,"1182"
87.5,"1183"
88.89,"1184"
100.0,"1185"
80.58,"1186"
83.33,"1187"
85.71,"1188"
100.0,"1189"
83.33,"119"
100.0,"1190"
100.0,"1191"
100.0,"1192"
100.0,"1193"
100.0,"1194"
83.33,"1195"
80.0,"1196"
75.0,"1199"
89.09,"12"
92.54,"120"
100.0,"1200"
100.0,"1201"
100.0,"1202"
90.0,"1205"
91.67,"1206"
80.0,"1207"
100.0,"1208"
83.33,"1209"
80.53,"121"
83.33,"1210"
90.91,"1211"
91.67,"1212"
90.0,"1213"
50.0,"1214"
11.11,"1215"
87.5,"1216"
89.47,"1217"
89.47,"1218"
66.67,"1219"
62.96,"122"
100.0,"1220"
85.71,"1221"
100.0,"1222"
84.62,"1223"
85.71,"1224"
87.5,"1225"
64.71,"1226"
83.33,"1227"
92.86,"1228"
100.0,"1229"
73.68,"1230"
80.0,"1231"
80.0,"1232"
84.62,"1233"
66.67,"1234"
89.47,"1235"
83.33,"1236"
83.33,"1237"
91.67,"1238"
72.73,"1239"
100.0,"124"
83.33,"1240"
100.0,"1241"
100.0,"1242"
100.0,"1243"
75.0,"1244"
90.74,"1246"
72.73,"1247"
100.0,"1248"
100.0,"1249"
100.0,"125"
100.0,"1250"
83.33,"1251"
100.0,"1252"
100.0,"1253"
92.31,"1254"
100.0,"1255"
100.0,"1256"
100.0,"1257"
81.48,"1258"
95.08,"1259"
100.0,"126"
77.78,"1260"
58.33,"1261"
90.0,"1262"
88.89,"1263"
98.9,"1264"
100.0,"127"
86.11,"1277"
100.0,"128"
91.67,"1280"
92.31,"1282"
93.75,"1284"
100.0,"129"
94.64,"1297"
92.31,"13"
80.0,"130"
88.89,"1302"
35.29,"1303"
100.0,"1304"
100.0,"1305"
100.0,"1306"
100.0,"1307"
100.0,"1308"
100.0,"1309"
100.0,"131"
75.0,"1310"
80.95,"1311"
69.84,"1312"
87.5,"1315"
87.5,"1316"
70.0,"1317"
100.0,"1319"
81.67,"132"
77.78,"1321"
77.78,"1323"
57.14,"1324"
47.37,"1325"
74.71,"1326"
81.82,"1327"
98.51,"1328"
90.91,"1329"
91.67,"133"
90.0,"1330"
100.0,"1331"
93.24,"1332"
91.78,"1333"
72.73,"1334"
90.32,"1335"
100.0,"1336"
93.75,"134"
87.5,"1341"
85.71,"1342"
92.86,"1343"
81.25,"1344"
80.0,"1345"
81.82,"1346"
70.0,"1347"
92.06,"135"
100.0,"1351"
37.5,"1352"
100.0,"1353"
77.78,"1354"
84.85,"136"
96.88,"1360"
91.67,"1362"
83.33,"1363"
94.05,"1364"
81.82,"1366"
91.67,"1367"
85.03,"1368"
100.0,"137"
87.5,"1374"
85.71,"1375"
40.0,"1376"
77.78,"1377"
98.55,"138"
80.0,"1380"
0.0,"1383"
0.0,"1384"
82.54,"139"
66.67,"1392"
78.16,"1393"
94.12,"1395"
100.0,"1396"
85.71,"1397"
100.0,"1398"
75.0,"1399"
95.28,"14"
77.63,"140"
100.0,"1400"
100.0,"1404"
100.0,"1405"
100.0,"1406"
68.42,"1407"
95.24,"1409"
100.0,"141"
100.0,"1410"
100.0,"1411"
88.89,"1412"
86.36,"1413"
88.89,"1414"
88.89,"1415"
85.71,"1416"
77.78,"1417"
70.0,"1418"
85.71,"1419"
88.46,"142"
73.33,"1420"
100.0,"1421"
100.0,"1422"
92.86,"1423"
87.5,"1424"
83.33,"1425"
100.0,"1426"
100.0,"1427"
100.0,"1428"
100.0,"1429"
100.0,"143"
73.33,"1430"
100.0,"1431"
95.0,"1432"
88.89,"1433"
62.5,"1434"
100.0,"1435"
75.0,"1436"
100.0,"1437"
91.67,"1438"
66.67,"1439"
100.0,"144"
87.5,"1440"
79.41,"1441"
90.0,"1442"
100.0,"1443"
80.0,"1444"
94.12,"1445"
77.78,"1446"
100.0,"1447"
83.33,"1448"
50.0,"1449"
100.0,"145"
88.89,"1450"
72.22,"1451"
62.5,"1452"
30.0,"1453"
76.92,"1454"
83.33,"1455"
90.62,"1456"
92.31,"1457"
85.71,"1458"
62.5,"1459"
100.0,"146"
87.5,"1460"
85.71,"1461"
75.68,"1462"
66.67,"1463"
84.62,"1464"
77.78,"1465"
81.82,"1466"
95.18,"1467"
93.55,"1468"
50.0,"1469"
84.62,"147"
66.67,"1471"
85.71,"1476"
72.73,"1477"
45.45,"1478"
69.23,"1479"
98.05,"148"
89.47,"1480"
80.0,"1481"
87.5,"1482"
80.28,"1483"
92.86,"1484"
88.89,"1485"
75.0,"1486"
75.0,"1487"
100.0,"149"
77.78,"1492"
90.0,"1495"
76.92,"1496"
83.33,"1497"
90.91,"1498"
85.71,"1499"
81.97,"15"
100.0,"150"
90.91,"1500"
85.0,"1501"
97.06,"151"
83.33,"1510"
71.43,"1511"
100.0,"1512"
68.75,"1513"
92.86,"1514"
92.31,"1515"
87.5,"1516"
71.43,"1517"
66.67,"1518"
81.82,"1519"
89.47,"152"
50.0,"1520"
85.71,"1521"
90.0,"1522"
71.43,"1523"
60.0,"1524"
76.92,"1525"
87.5,"1526"
66.67,"1527"
81.82,"1528"
82.43,"153"
72.73,"1534"
87.5,"1535"
92.31,"1536"
83.33,"1537"
50.0,"1538"
67.74,"154"
87.5,"1542"
75.0,"1543"
88.89,"1544"
90.0,"1545"
94.74,"1546"
66.67,"1547"
87.5,"1548"
77.78,"1549"
100.0,"155"
86.67,"1552"
93.33,"1553"
85.71,"1554"
90.0,"1555"
62.5,"1556"
88.24,"1557"
77.78,"1558"
80.0,"1559"
100.0,"156"
66.67,"1560"
80.0,"1561"
87.5,"1562"
78.57,"1563"
92.31,"1564"
84.62,"1565"
62.5,"1566"
78.57,"1567"
87.5,"1568"
87.5,"1569"
100.0,"157"
85.71,"1571"
87.5,"1572"
66.67,"1573"
90.91,"1574"
50.0,"1575"
75.0,"1576"
80.0,"1577"
87.5,"1578"
88.89,"1579"
100.0,"158"
91.67,"1580"
85.71,"1581"
90.0,"1582"
69.23,"1583"
60.0,"1584"
90.0,"1585"
82.35,"1586"
66.67,"1587"
90.91,"1588"
81.82,"1589"
83.33,"1590"
72.73,"1591"
72.73,"1592"
87.5,"1593"
84.62,"1594"
75.0,"1595"
87.5,"1596"
90.0,"1597"
57.14,"1598"
84.62,"1599"
86.11,"16"
88.89,"160"
87.5,"1600"
85.71,"1601"
85.71,"1602"
94.44,"1603"
50.0,"1604"
66.67,"1605"
78.57,"1606"
75.0,"1607"
92.86,"1608"
62.5,"1609"
87.5,"161"
57.14,"1610"
0.0,"1611"
77.78,"1612"
83.33,"1614"
70.59,"1615"
85.71,"1616"
60.0,"1617"
100.0,"1618"
90.91,"1619"
100.0,"162"
90.0,"1620"
87.5,"1621"
90.0,"1625"
80.0,"1626"
90.0,"1627"
85.71,"1628"
85.71,"1629"
100.0,"163"
55.56,"1630"
90.0,"1631"
83.33,"1637"
100.0,"164"
83.33,"1649"
100.0,"165"
91.67,"1650"
90.0,"1652"
92.86,"1653"
85.71,"1654"
81.82,"1655"
77.78,"1656"
73.33,"1657"
90.0,"1658"
72.73,"1659"
97.48,"166"
76.92,"1660"
75.0,"1661"
0.0,"1662"
83.33,"1663"
0.0,"1664"
88.89,"1665"
83.33,"1666"
91.67,"1667"
88.24,"1668"
70.0,"1669"
94.74,"167"
72.73,"1670"
91.67,"1671"
87.5,"1672"
85.71,"1673"
87.5,"1674"
90.62,"168"
94.44,"1684"
91.67,"1685"
80.0,"1686"
90.0,"1687"
75.0,"1688"
100.0,"169"
86.89,"17"
100.0,"170"
87.5,"1705"
100.0,"171"
63.64,"1715"
90.48,"1716"
71.43,"1717"
91.67,"1719"
100.0,"172"
92.86,"1721"
90.0,"1723"
71.43,"1725"
71.64,"1726"
85.14,"1727"
87.5,"1728"
